Long code,FoodEx2 code,FoodEx2 name,SUA code,SUA name,Category,Country name,Country code,"Carbon footprint, primary production","Carbon dioxide, primary production","Methane, fossil, primary production","Methane, biogenic, primary production","Nitrous oxide, primary production",Land,N input,P input,Water,Pesticides,Biodiversity,Ammonia,Animal welfare,Antibiotics,Mineral fertiliser production (CO2e),Capital goods (CO2e),Soil emissions (CO2e),Energy primary production (CO2e),Land use change (CO2e),Enteric fermentation (CO2e),Manure management (CO2e),Mineral fertiliser production (CO2),Capital goods (CO2),Energy primary production (CO2),Land use change (CO2),"Mineral fertiliser production (CH4, fossil)","Capital goods (CH4, fossil)","Energy primary production (CH4, fossil)","Soil emissions (CH4, biogenic)","Enteric fermentation (CH4, biogenic)","Manure management (CH4, biogenic)",Mineral fertiliser production (N2O),Capital goods (N2O),Soil emissions (N2O),Energy primary production (N2O),Manure management (N2O)
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Italy,IT,0.354540635,0.208092082,3.41E-04,0,4.99E-04,2.532081472,2.35E-02,2.15E-03,0.016090387,0.10403672,1.36E-12,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.093048542,0,,,9.10E-02,2.70E-02,0.090133217,,1.74E-04,9.50E-05,7.17E-05,,,,2.01E-04,1.10E-06,0.000294292,2.85E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Spain,ES,0.358583847,0.212402077,3.31E-04,0,4.99E-04,2.81176894,2.35E-02,2.15E-03,0.047600962,0.219347582,1.92E-12,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.097091753,0,,,9.10E-02,2.70E-02,0.094443212,,1.74E-04,9.50E-05,6.18E-05,,,,2.01E-04,1.10E-06,0.000294292,2.96E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Germany,DE,0.411835603,0.186088577,3.11E-04,0,7.93E-04,1.357389902,2.35E-02,2.15E-03,1.01E-09,0.258978472,1.24E-13,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.070001877,0,,,9.10E-02,2.70E-02,0.068129712,,1.74E-04,9.50E-05,4.19E-05,,,,2.01E-04,1.10E-06,0.000588583,2.28E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",New Zealand,NZ,0.468855259,0.189100918,3.53E-04,0,9.86E-04,1.056599946,2.35E-02,2.15E-03,0,0.219347582,9.66E-14,1.43E-03,,,0.166650418,3.01E-02,0.207334372,0.064739168,0,,,9.93E-02,2.70E-02,0.062779127,,2.13E-04,9.50E-05,4.47E-05,,,,2.23E-04,1.10E-06,0.000759467,2.30E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Ireland,IE,0.451615652,0.179632163,2.99E-04,0,9.64E-04,1.092616752,2.35E-02,2.15E-03,0,0.535352643,4.80E-14,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.06313082,0,,,9.10E-02,2.70E-02,0.061673298,,1.74E-04,9.50E-05,3.04E-05,,,,2.01E-04,1.10E-06,0.000759467,2.02E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",UK,GB,0.45494276,0.182811502,3.04E-04,0,9.64E-04,1.257975565,2.35E-02,2.15E-03,0.000124896,0.535292832,5.34E-14,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.066457927,0,,,9.10E-02,2.70E-02,0.064852638,,1.74E-04,9.50E-05,3.47E-05,,,,2.01E-04,1.10E-06,0.000759467,2.09E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Netherlands,NL,0.456262767,0.183777563,3.15E-04,0,9.64E-04,1.145205141,2.35E-02,2.15E-03,0,0.258981285,9.27E-14,1.43E-03,,,0.151019161,3.01E-02,0.207334372,0.067777935,0,,,9.10E-02,2.70E-02,0.065818698,,1.74E-04,9.50E-05,4.56E-05,,,,2.01E-04,1.10E-06,0.000759467,2.20E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Bulgaria,BG,0.344806812,0.199460997,3.08E-04,0,4.99E-04,1.947761049,2.35E-02,2.15E-03,2.76E-05,0.178703633,3.55E-13,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.083314718,0,,,9.10E-02,2.70E-02,0.081502132,,1.74E-04,9.50E-05,3.88E-05,,,,2.01E-04,1.10E-06,0.000294292,2.40E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",Hungary,HU,0.340406764,0.194707093,3.19E-04,0,4.99E-04,1.835441644,2.35E-02,2.15E-03,0.00183032,0.178037839,2.30E-13,1.43E-03,,,0.151019161,3.01E-02,0.080341633,0.078914671,0,,,9.10E-02,2.70E-02,0.076748228,,1.74E-04,9.50E-05,5.05E-05,,,,2.01E-04,1.10E-06,0.000294292,2.42E-06,
A.01.02.005,A001R,Spelt grain,111,"Wheat, average","Cereals, incl feed",France,FR,0.405124659,0.179775363,3.00E-04,0,7.93E-04,1.41349549,2.35E-02,2.15E-03,0.001330063,0.265461103,1.70E-13,1.43E-03,,,0.151019161,3.01E-02,0.160683266,0.063290932,0,,,9.10E-02,2.70E-02,0.061816498,,1.74E-04,9.50E-05,3.06E-05,,,,2.01E-04,1.10E-06,0.000588583,2.06E-06,
