Compliance,"Origin, meat",Substitute,$\Delta$ semi-natural grasslands,$\Delta$ cropland
BL,2016-2020,,0.0,0.0
BL,2023,,0.0,0.0
5%,CMS,C,-0.017041711087794356,-0.02552171970775056
5%,CMS,PB,-0.01722927997778239,-0.026294619546899184
5%,CMS+AP,PB,-0.006021960718311348,-0.030056408613392285
5%,SE,C,0.012221197660071131,0.019565689476612417
5%,SE,PB,0.012055005405804013,0.018773590327779574
5%,SE-all,C,0.45734825672233925,0.5841091690452401
5%,SE-all,PB,0.45733082364471245,0.5831596981397928
30%,CMS,C,-0.10769064646631979,-0.15147337932763522
30%,CMS,PB,-0.11044268753268137,-0.15454605596387588
30%,CMS+AP,PB,-0.019265642543355718,-0.1853888537773722
30%,SE,C,0.06548399101756687,0.11570466108554768
30%,SE,PB,0.06394727048183306,0.1104112106747741
30%,SE-all,C,0.3578004800318059,0.36940039396678886
30%,SE-all,PB,0.35759988104781704,0.3640570799972032
