Compliance,"Origin, meat",Substitute,Swedish production,$\Delta$ red meat imports,$\Delta$ substitute imports,$\Delta$ feed imports
BL,2016-2020,,49.85657593492827,0.0,0.0,0.0
BL,2023,,49.127142438478586,0.0,0.0,0.0
5%,CMS,C,48.730994734228744,-0.18470607325351035,0.06720231631185486,-7.434579877067574e-05
5%,CMS,PB,48.675500295079324,-0.18470607325351035,0.001721338463726925,-0.0011382651151473926
5%,CMS+AP,PB,48.6748028531143,-0.18470607325351035,0.001721338463726925,-0.0011431402498931315
5%,SE,C,49.342168756167375,-0.5862410151089682,0.06720231631185486,0.0006430971350140655
5%,SE,PB,49.286684246870784,-0.5862410151089682,0.001721338463726925,-0.00042083408820846546
5%,SE-all,C,66.47640322407374,-11.724820302179353,0.06720231631185486,0.01815010397795213
5%,SE-all,PB,66.42139039768524,-11.724820302179353,0.001721338463726925,0.017083911220351262
30%,CMS,C,46.750093124270784,-1.1082364395210598,0.4032138978711252,-0.00045571332600042024
30%,CMS,PB,46.416412427783676,-1.1082364395210598,0.010328030782361696,-0.006840505546048049
30%,CMS+AP,PB,46.4101862600699,-1.1082364395210598,0.010328030782361696,-0.0068708925098753225
30%,SE,C,50.42973359381084,-3.5174460906538045,0.4032138978711252,0.004745501441628846
30%,SE,PB,50.103103595565,-3.5174460906538045,0.010328030782361696,-0.0013584984027357227
30%,SE-all,C,63.05926057035309,-11.724820302179353,0.4032138978711252,0.016361800963049847
30%,SE-all,PB,62.73414005040903,-11.724820302179353,0.010328030782361696,0.010014757321262068
