Compliance,"Origin, meat",Substitute,Mineral fertiliser,Animal manure,Other organic
BL,2016-2020,,144.46241128865807,115.32549121562809,10.523344939022932
BL,2023,,144.21705261299013,113.45331214988941,10.507919042085458
5%,CMS,C,144.0952765258631,112.45631537327422,10.507176360549053
5%,CMS,PB,143.8563328135898,112.35626706557734,10.493812217601558
5%,CMS+AP,PB,143.88634891474163,112.35693052349265,10.493758947293138
5%,SE,C,144.5049087287614,114.08162755837301,10.531697847257147
5%,SE,PB,144.26628649288944,113.98157112103534,10.518333097444913
5%,SE-all,C,156.6492164380845,159.48915847568367,11.248769475695031
5%,SE-all,PB,156.41555481794893,159.38985753402164,11.23543138633418
30%,CMS,C,143.48187255322628,107.46984632842083,10.503508430391921
30%,CMS,PB,142.0241282836943,106.86987561076423,10.423283412247992
30%,CMS+AP,PB,142.20618465384652,106.87731564914112,10.42268384969524
30%,SE,C,145.7899160471823,117.2261934288268,10.648738740258748
30%,SE,PB,144.32436229328124,116.63178420844403,10.568190392981345
30%,SE-all,C,155.00583190344727,150.7085718088404,11.16590788408375
30%,SE-all,PB,153.60283939879713,150.12104354953476,11.085990272567699
