Compliance,"Origin, meat",Substitute,semi-natural grasslands
BL,2016-2020,,0.4469318623291607
BL,2023,,0.43765246422059834
5%,CMS,C,0.432877538166299
5%,CMS,PB,0.43282498313968426
5%,CMS+AP,PB,0.43596516785794454
5%,SE,C,0.44107672806483234
5%,SE,PB,0.44103016256910044
5%,SE-all,C,0.5657971144650196
5%,SE-all,PB,0.5657922298817674
30%,CMS,C,0.4074785649585306
30%,CMS,PB,0.4067074691147756
30%,CMS+AP,PB,0.4322544136340599
30%,SE,C,0.4560004583415193
30%,SE,PB,0.45556988380082614
30%,SE-all,C,0.5379047701975683
30%,SE-all,PB,0.5378485642620153
