Compliance,"Origin, meat",Substitute,agricultural soils,energy use,enteric fermentation,input production,liming,manure management,waste management,$\Delta$ red meat imports,$\Delta$ substitute imports,$\Delta$ feed imports
BL,2016-2020,,1.9649911861227327,0.6626848237871328,2.9108300590048817,0.861771762406631,0.11422225085744653,0.6509463622792249,0.04429542524391362,0.0,0.0,0.0
BL,2023,,1.9482892788031607,0.6587802856303403,2.8580398604846144,0.8612302668755533,0.11362577913085127,0.6406550328968513,0.044189135949601326,0.0,0.0,0.0
5%,CMS,C,1.939386399446885,0.6569486766338182,2.8283292207121833,0.8610211254300215,0.11326580035171722,0.6351517028510039,0.04420405338048723,-0.04397901029356987,0.0026911670798291875,0.00023853647561776714
5%,CMS,PB,1.9372868153517346,0.6559187493113743,2.8283051474266028,0.8598329949259855,0.11318201006429975,0.634117975465178,0.04414449084198542,-0.04397901029356987,0.000572806190719274,-0.0018802621328274757
5%,CMS+AP,PB,1.9372448517844583,0.6558289313427592,2.828319863656048,0.859872354112692,0.11308701215123956,0.6341006869649365,0.04414444753928705,-0.04397901029356987,0.000572806190719274,-0.0018897635366520115
5%,SE,C,1.95534234698879,0.6614146296666591,2.8777613575280427,0.8626512396145994,0.1140594070410385,0.6441176120333197,0.044256441672922565,-0.13958555441002643,0.0026911670798291875,0.001383812172882262
5%,SE,PB,1.9532433803736946,0.660384385920837,2.8777373398729367,0.8614649342927615,0.11397566605655245,0.6430839522565397,0.04419687952167748,-0.13958555441002643,0.000572806190719274,-0.0007350091382849281
5%,SE-all,C,2.397946449815934,0.7600952101638658,4.2457324192441135,0.91606950289107,0.14162577225722964,0.8923120999623455,0.04575566346889157,-2.7917110882005254,0.0026911670798291875,0.030432545198695853
5%,SE-all,PB,2.3958672736915627,0.7590631242998838,4.245690626270219,0.9148834350895892,0.14154759090838934,0.89127710167183,0.04569608170957101,-2.7917110882005254,0.000572806190719274,0.0283094021752573
30%,CMS,C,1.8949028287712173,0.6478256718772716,2.6797331362904995,0.8603457691816515,0.11147020571569474,0.6076261545931768,0.04427866270576316,-0.263874061761419,0.01614700247897497,0.001413890975571831
30%,CMS,PB,1.8822600175693478,0.6416802116488288,2.6796026331192992,0.8530109178477615,0.11098267558812161,0.6014217520646444,0.043921294883071144,-0.263874061761419,0.0034368371443156873,-0.011301340311990551
30%,CMS+AP,PB,1.8821321250603367,0.6409400627197729,2.6797167845234244,0.8542325003914417,0.11010463717420937,0.6012134058458286,0.043920162264255484,-0.263874061761419,0.0034368371443156873,-0.011363531099345589
30%,SE,C,1.989849738813568,0.6744790716787187,2.9703903886965755,0.8689087445528455,0.11599729051882536,0.6612220244122016,0.044584077920611975,-0.8375133264601571,0.01614700247897497,0.009999415443066841
30%,SE,PB,1.9770768154813212,0.6682804337448154,2.9687478160432432,0.8614352320007063,0.11543968029533727,0.6549864690604217,0.044223748106543184,-0.8375133264601571,0.0034368371443156873,-0.0021791558772765803
30%,SE-all,C,2.3155033490833272,0.7415592967098652,3.9830956392485537,0.9089037726663246,0.13734897975777827,0.8442478514850691,0.045669201695599466,-2.7917110882005254,0.01614700247897497,0.027568573935154876
30%,SE-all,PB,2.303086073510611,0.7354076406076463,3.9823349544278703,0.9016930415496195,0.1368870423535416,0.8380220014489069,0.04531084602184092,-2.7917110882005254,0.0034368371443156873,0.014925507186838409
